Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Rep. Mark Pocan,D,WI-2,@RepMarkPocan,@repmarkpocan,https://www.facebook.com/repmarkpocan
Rep. Derrick Van Orden,R,WI-3,@derrickvanorden,@derrickvanorden,https://www.facebook.com/derrickvanorden/
Rep. Gwen Moore,D,WI-4,@RepGwenMoore,@repgwenmoore,https://www.facebook.com/GwenSMoore
Rep. Scott Fitzgerald,R,WI-5,@RepFitzgerald,,https://www.facebook.com/CongressmanScottFitzgerald/
Rep. Glenn Grothman,R,WI-6,@RepGrothman,@repglenngrothman,https://www.facebook.com/RepGrothman
Rep. Thomas Tiffany,R,WI-7,@RepTiffany,@reptiffany,http://www.facebook.com/RepTiffany/
Rep. Mike Gallagher,R,WI-8,@RepGallagher,@repgallagher,http://www.facebook.com/RepMikeGallagher/
Sen. Shelley Capito,R,WV,@SenCapito,@sencapito,https://www.facebook.com/senshelley
Sen. Joe Manchin,D,WV,@Sen_JoeManchin,@joemanchin,https://www.facebook.com/JoeManchinIII
Rep. Carol Miller,R,WV-1,@repcarolmiller,@repcarolmiller,https://www.facebook.com/RepCarolMiller
Rep. Alex Mooney,R,WV-2,@RepAlexMooney,@repalexmooney,https://www.facebook.com/CongressmanAlexMooney
Sen. John Barrasso,R,WY,@SenJohnBarrasso,@senjohnbarrasso,https://www.facebook.com/johnbarrasso
Sen. Cynthia Lummis,R,WY,@SenLummis,@sencynthialummis,https://www.facebook.com/sencynthialummis/
Rep. Harriet Hageman,R,WY-0,@RepHageman,@rephageman,https://www.facebook.com/harriethageman/
